motif_long_name,motif_id
A1CF_7mer_logo0.PWM,001
A1CF_7mer_logo1.PWM,002
A1CF_7mer_logo2.PWM,003
A1CF_7mer_logo3.PWM,004
A1CF_7mer_logo4.PWM,005
A1CF_7mer_logoM001.PWM,006
A2BP1_7mer_logoM159.PWM,007
ANIA04546_7mer_logoM226.PWM,008
ANKHD1_7mer_logoM002.PWM,009
aret_7mer_logoM003.PWM,010
aretCONSTRUCT_7mer_logoM229.PWM,011
asd1_7mer_logoM171.PWM,012
AT1G76460TAIRG_7mer_logoM239.PWM,013
B52_7mer_logoM126.PWM,014
BOLL_7mer_logo0.PWM,015
BOLL_7mer_logo1.PWM,016
BOLL_7mer_logo2.PWM,017
BOLL_7mer_logo3.PWM,018
bru3_7mer_logoM117.PWM,019
BRUNOL4_7mer_logoM004.PWM,020
BRUNOL5_7mer_logoM157.PWM,021
BRUNOL6_7mer_logoM178.PWM,022
CADANIAG00004740_7mer_logoM241.PWM,023
CELF1_7mer_logo0.PWM,024
CELF1_7mer_logo1.PWM,025
CELF1_7mer_logo2.PWM,026
CG2931_7mer_logoM138.PWM,027
CG2950_7mer_logoM007.PWM,028
CG7804_7mer_logoM137.PWM,029
CG7903_7mer_logoM135.PWM,030
CG17838_7mer_logoM123.PWM,031
CG33714_7mer_logoM009.PWM,032
CNOT4_7mer_logo0.PWM,033
CNOT4_7mer_logo1.PWM,034
CNOT4_7mer_logo2.PWM,035
CNOT4_7mer_logo3.PWM,036
Cnot4_7mer_logoM008.PWM,037
CNOT4_7mer_logoM147.PWM,038
CPEB1_7mer_logo0.PWM,039
CPEB2_7mer_logoM012.PWM,040
CPEB4_7mer_logoM149.PWM,041
cpo_7mer_logoM125.PWM,042
Cscaffold4000008_7mer_logoM213.PWM,043
DAZ3_7mer_logo0.PWM,044
DAZ3_7mer_logo1.PWM,045
DAZ3_7mer_logo2.PWM,046
DAZ3_7mer_logo3.PWM,047
DAZ3_7mer_logo4.PWM,048
DAZ3_7mer_logo5.PWM,049
DAZAP1_7mer_logo0.PWM,050
DAZAP1_7mer_logo1.PWM,051
DAZAP1_7mer_logo2.PWM,052
DAZAP1_7mer_logoM013.PWM,053
egw103003671_7mer_logoM224.PWM,054
egw109003261_7mer_logoM225.PWM,055
eIF2alpha_7mer_logoM231.PWM,056
EIF4B_7mer_logoM290.PWM,057
EIF4B_7mer_logoM291.PWM,058
EIF4G2_7mer_logo0.PWM,059
EIF4G2_7mer_logo1.PWM,060
EIF4G2_7mer_logo2.PWM,061
EIF4G2_7mer_logo3.PWM,062
elav_7mer_logoM116.PWM,063
ELAVL1_7mer_logoM031.PWM,064
ELAVL1_7mer_logoM108.PWM,065
ELAVL1_7mer_logoM112.PWM,066
ELAVL1_7mer_logoM127.PWM,067
ELAVL1_7mer_logoM232.PWM,068
ELAVL4_7mer_logo0.PWM,069
ELAVL4_7mer_logo1.PWM,070
ELAVL4_7mer_logo2.PWM,071
ENOX1_7mer_logoM140.PWM,072
ENSDARG00000058818_7mer_logoM238.PWM,073
ENSGALG00000000814_7mer_logoM242.PWM,074
ENSGALG00000003765_7mer_logoM244.PWM,075
ENSGALG00000014267_7mer_logoM234.PWM,076
ENSXETG00000007102_7mer_logoM243.PWM,077
ENSXETG00000012802_7mer_logoM235.PWM,078
ENSXETG00000018075_7mer_logoM236.PWM,079
ESRP1_7mer_logo0.PWM,080
ESRP1_7mer_logo1.PWM,081
ESRP1_7mer_logo2.PWM,082
ESRP2_7mer_logoM141.PWM,083
estExtfgeneshHS_pg_7mer_logoM223.PWM,084
etr1_7mer_logoM174.PWM,085
EWSR1_7mer_logo0.PWM,086
EWSR1_7mer_logo1.PWM,087
EWSR1_7mer_logo2.PWM,088
EWSR1_7mer_logo3.PWM,089
exc7_7mer_logoM014.PWM,090
Fmr1_7mer_logoM015.PWM,091
FMR1_7mer_logoM016.PWM,092
fne_7mer_logoM115.PWM,093
fox1_7mer_logoM017.PWM,094
FUBP1_7mer_logo0.PWM,095
FUBP1_7mer_logo1.PWM,096
FUBP1_7mer_logo2.PWM,097
FUBP1_7mer_logo3.PWM,098
FUBP3_7mer_logo0.PWM,099
FUBP3_7mer_logo1.PWM,100
FUS_7mer_logo0.PWM,101
FUSCONSTRUCT_7mer_logoM018.PWM,102
Fusip1_7mer_logoM019.PWM,103
Fusip1_7mer_logoM086.PWM,104
Fusip1_7mer_logoM087.PWM,105
Fusip1_7mer_logoM088.PWM,106
FXR2_7mer_logoM020.PWM,107
G3BP2_7mer_logoM021.PWM,108
gw121961CONSTRUC_7mer_logoM199.PWM,109
gw184451_7mer_logoM198.PWM,110
HNRNPA0_7mer_logo0.PWM,111
HNRNPA0_7mer_logo1.PWM,112
HNRNPA0_7mer_logo2.PWM,113
HNRNPA0_7mer_logo3.PWM,114
HNRNPA1_7mer_logoM022.PWM,115
HNRNPA1L2_7mer_logoM023.PWM,116
HNRNPA2B1_7mer_logo0.PWM,117
HNRNPA2B1_7mer_logo1.PWM,118
HNRNPA2B1_7mer_logoM024.PWM,119
HNRNPAB_7mer_logoM210.PWM,120
HNRNPC_7mer_logo0.PWM,121
HNRNPC_7mer_logo1.PWM,122
HNRNPC_7mer_logoM025.PWM,123
HNRNPCL1_7mer_logo0.PWM,124
HNRNPCL1_7mer_logo1.PWM,125
HNRNPCL1_7mer_logoM158.PWM,126
HNRNPD_7mer_logo0.PWM,127
HNRNPD_7mer_logo1.PWM,128
HNRNPD_7mer_logo2.PWM,129
HNRNPDL_7mer_logo0.PWM,130
HNRNPDL_7mer_logo1.PWM,131
HNRNPF_7mer_logo0.PWM,132
HNRNPF_7mer_logo1.PWM,133
HNRNPF_7mer_logo2.PWM,134
HNRNPH2_7mer_logo0.PWM,135
HNRNPH2_7mer_logo1.PWM,136
HNRNPH2_7mer_logoM151.PWM,137
HNRNPK_7mer_logo0.PWM,138
HNRNPK_7mer_logo1.PWM,139
HNRNPK_7mer_logo2.PWM,140
HNRNPK_7mer_logo3.PWM,141
hnRNPK_7mer_logoM026.PWM,142
HNRNPL_7mer_logo0.PWM,143
HNRNPL_7mer_logo1.PWM,144
HNRNPL_7mer_logoM027.PWM,145
HNRNPL_7mer_logoM089.PWM,146
hnRNPLL_7mer_logoM169.PWM,147
how_7mer_logoM113.PWM,148
Hrb27C_7mer_logoM028.PWM,149
Hrb27C_7mer_logoM090.PWM,150
Hrb87F_7mer_logoM029.PWM,151
Hrb98DE_7mer_logoM091.PWM,152
Hrb98DE_7mer_logoM092.PWM,153
Hrb98DE_7mer_logoM093.PWM,154
HRP1_7mer_logoM030.PWM,155
IGF2BP1_7mer_logo0.PWM,156
IGF2BP1_7mer_logo1.PWM,157
IGF2BP1_7mer_logo2.PWM,158
IGF2BP2_7mer_logo0.PWM,159
IGF2BP2_7mer_logo1.PWM,160
IGF2BP2_7mer_logo2.PWM,161
IGF2BP2_7mer_logo3.PWM,162
IGF2BP2_7mer_logoM032.PWM,163
IGF2BP3_7mer_logoM163.PWM,164
ILF2_7mer_logo0.PWM,165
ILF2_7mer_logo1.PWM,166
ILF2_7mer_logo2.PWM,167
Khdrbs1_7mer_logoM060.PWM,168
KHDRBS1_7mer_logoM160.PWM,169
KHDRBS2_7mer_logo0.PWM,170
KHDRBS2_7mer_logo1.PWM,171
KHDRBS2_7mer_logo2.PWM,172
KHDRBS2_7mer_logoM176.PWM,173
KHDRBS3_7mer_logo0.PWM,174
KHDRBS3_7mer_logo1.PWM,175
KHDRBS3_7mer_logo2.PWM,176
KHDRBS3_7mer_logo3.PWM,177
KHSRP_7mer_logo0.PWM,178
KHSRP_7mer_logo1.PWM,179
lark_7mer_logoM034.PWM,180
lark_7mer_logoM094.PWM,181
LIN28A_7mer_logoM035.PWM,182
LIN28A_7mer_logoM153.PWM,183
LmjF180180_7mer_logoM187.PWM,184
LmjF320750_7mer_logoM194.PWM,185
LmjF352550_7mer_logoM217.PWM,186
LmjF354130_7mer_logoM218.PWM,187
MAL8P140_7mer_logoM179.PWM,188
MAL13P135_7mer_logoM202.PWM,189
MATR3_7mer_logoM036.PWM,190
MBNL1_7mer_logo0.PWM,191
MBNL1_7mer_logo1.PWM,192
MBNL1_7mer_logo2.PWM,193
MBNL1_7mer_logo3.PWM,194
MBNL1_7mer_logoM037.PWM,195
mec8_7mer-logoM172.PWM,196
mod_7mer_logoM131.PWM,197
msi_7mer_logoM095.PWM,198
msi_7mer_logoM096.PWM,199
MSI1_7mer_logo0.PWM,200
MSI1_7mer_logo1.PWM,201
MSI1_7mer_logo2.PWM,202
MSI1_7mer_logoM040.PWM,203
MSI1_7mer_logoM167.PWM,204
msiCONSTRUCT_7mer_logoM039.PWM,205
mubCONSTRUCT_7mer_logoM128.PWM,206
NAB2CONSTRUCT_7mer_logoM041.PWM,207
NCU02404_7mer_logoM206.PWM,208
NOVA1_7mer_logo0.PWM,209
NOVA1_7mer_logo1.PWM,210
NOVA1_7mer_logo2.PWM,211
NOVA1_7mer_logo3.PWM,212
NUPL2_7mer_logo0.PWM,213
NUPL2_7mer_logo1.PWM,214
NUPL2_7mer_logo2.PWM,215
NUPL2_7mer_logo3.PWM,216
NUPL2_7mer_logo4.PWM,217
NUPL2_7mer_logo5.PWM,218
NUPL2_7mer_logo6.PWM,219
orb2_7mer_logoM120.PWM,220
pAbp_7mer_logoM130.PWM,221
PABPC1_7mer_logoM146.PWM,222
PABPC1_7mer_logoM349.PWM,223
PABPC3_7mer_logoM144.PWM,224
PABPC4_7mer_logoM042.PWM,225
PABPC5_7mer_logoM162.PWM,226
PABPN1_7mer_logoM148.PWM,227
PABPN1L_7mer_logo0.PWM,228
PABPN1L_7mer_logo1.PWM,229
papi_7mer_logoM011.PWM,230
PCBP1_7mer_logo0.PWM,231
PCBP1_7mer_logo1.PWM,232
PCBP1_7mer_logo2.PWM,233
PCBP1_7mer_logo3.PWM,234
PCBP1_7mer_logoM177.PWM,235
PCBP2_7mer_logo0.PWM,236
PCBP2_7mer_logo1.PWM,237
PCBP2_7mer_logo2.PWM,238
PCBP2_7mer_logo3.PWM,239
PCBP2_7mer_logo4.PWM,240
PCBP2_7mer_logoM043.PWM,241
pcbp2_7mer_logoM211.PWM,242
PCBP4_7mer_logo0.PWM,243
PCBP4_7mer_logo1.PWM,244
PCBP4_7mer_logo2.PWM,245
PF100214_7mer_logoM208.PWM,246
PF130315_7mer_logoM181.PWM,247
PFF0320c_7mer_logoM203.PWM,248
PFI1435w_7mer_logoM182.PWM,249
PPRC1_7mer_logoM044.PWM,250
PRR3_7mer_logo0.PWM,251
PRR3_7mer_logo1.PWM,252
PRR3_7mer_logo2.PWM,253
PTBP1_7mer_logoM227.PWM,254
PTBP1_7mer_logoM228.PWM,255
PTBP3_7mer_logo0.PWM,256
PTBP3_7mer_logo1.PWM,257
PUF60_7mer_logo0.PWM,258
PUF60_7mer_logo1.PWM,259
pUf68_7mer_logoM132.PWM,260
pum_7mer_logoM045.PWM,261
pum_7mer_logoM097.PWM,262
pum_7mer_logoM098.PWM,263
pum_7mer_logoM099.PWM,264
pum_7mer_logoM100.PWM,265
pum_7mer_logoM101.PWM,266
PUM1_7mer_logo0.PWM,267
PUM1_7mer_logo1.PWM,268
QKI_7mer_logoM046.PWM,269
QKI_7mer_logoM262.PWM,270
qkr58E1_7mer_logoM133.PWM,271
RALY_7mer_logoM150.PWM,272
RALYL_7mer_logo0.PWM,273
RALYL_7mer_logo1.PWM,274
RBFOX2_7mer_logo0.PWM,275
RBFOX3_7mer_logo0.PWM,276
RBM3_7mer_logoM048.PWM,277
RBM4_7mer_logo0.PWM,278
RBM4_7mer_logo1.PWM,279
RBM4_7mer_logo2.PWM,280
RBM4_7mer_logoM050.PWM,281
RBM4_7mer_logoM109.PWM,282
RBM4B_7mer_logo0.PWM,283
RBM4B_7mer_logo1.PWM,284
RBM4B_7mer_logo2.PWM,285
RBM4B_7mer_logo3.PWM,286
RBM5_7mer_logoM053.PWM,287
RBM5_7mer_logoM145.PWM,288
RBM6_7mer_logo0.PWM,289
RBM6_7mer_logo1.PWM,290
RBM6_7mer_logo2.PWM,291
RBM6_7mer_logo3.PWM,292
RBM6_7mer_logoM161.PWM,293
RBM8A_7mer_logoM054.PWM,294
RBM15B_7mer_logo0.PWM,295
RBM15B_7mer_logo1.PWM,296
RBM15B_7mer_logo2.PWM,297
RBM22_7mer_logo0.PWM,298
RBM23_7mer_logo0.PWM,299
RBM23_7mer_logo1.PWM,300
RBM24_7mer_logo0.PWM,301
RBM24_7mer_logo1.PWM,302
RBM24_7mer_logoM175.PWM,303
RBM25_7mer_logo0.PWM,304
RBM25_7mer_logo1.PWM,305
RBM25_7mer_logo2.PWM,306
RBM28_7mer_logoM047.PWM,307
Rbm38_7mer_logoM049.PWM,308
RBM41_7mer_logo0.PWM,309
RBM41_7mer_logo1.PWM,310
RBM41_7mer_logoM051.PWM,311
RBM42_7mer_logoM142.PWM,312
RBM45_7mer_logo0.PWM,313
RBM45_7mer_logo1.PWM,314
RBM45_7mer_logo2.PWM,315
RBM45_7mer_logo3.PWM,316
RBM45_7mer_logo4.PWM,317
RBM45_7mer_logo5.PWM,318
Rbm45_7mer_logoM209.PWM,319
RBM46_7mer_logoM052.PWM,320
RBM47_7mer_logo0.PWM,321
RBM47_7mer_logo1.PWM,322
RBMS1_7mer_logoM143.PWM,323
RBMS2_7mer_logo0.PWM,324
RBMS2_7mer_logo1.PWM,325
RBMS2_7mer_logo2.PWM,326
RBMS3_7mer_logo0.PWM,327
RBMS3_7mer_logo1.PWM,328
RBMS3_7mer_logo2.PWM,329
RBMS3_7mer_logo3.PWM,330
RBMS3_7mer_logoM055.PWM,331
RBMS3_7mer_logoM164.PWM,332
Rbp1_7mer_logoM056.PWM,333
Rbp1like_7mer_logoM121.PWM,334
Rbp9_7mer_logoM124.PWM,335
RC3H1_7mer_logo0.PWM,336
RC3H1_7mer_logo1.PWM,337
RC3H1_7mer_logo2.PWM,338
RC3H1_7mer_logo3.PWM,339
ref2_7mer_logoM057.PWM,340
Rnp4F_7mer_logoM058.PWM,341
RO3G00049_7mer_logoM184.PWM,342
Rox8_7mer_logoM139.PWM,343
Rsf1_7mer_logoM059.PWM,344
SAMD4A_7mer_logoM061.PWM,345
SART3_7mer_logoM062.PWM,346
SF1_7mer_logo0.PWM,347
SF1_7mer_logo1.PWM,348
SF1_7mer_logo2.PWM,349
SF1CONSTRUCT_mer_logoM063.PWM,350
SF2_7mer_logoM064.PWM,351
sf3b4_7mer_logoM195.PWM,352
SFPQ_7mer_logo0.PWM,353
SFPQ_7mer_logo1.PWM,354
SFPQ_7mer_logo2.PWM,355
SFPQ_7mer_logo3.PWM,356
SFPQ_7mer_logo4.PWM,357
SFPQ_7mer_logo5.PWM,358
SFPQ_7mer_logoM168.PWM,359
shep_7mer_logoM066.PWM,360
shep_7mer_logoM165.PWM,361
shep_7mer_logoM166.PWM,362
sm_7mer_logoM067.PWM,363
Smp067420_7mer_logoM201.PWM,364
SNRNP70_7mer_logoM068.PWM,365
SNRPA_7mer_logo0.PWM,366
SNRPA_7mer_logo1.PWM,367
SNRPA_7mer_logoM069.PWM,368
SNRPA_7mer_logoM318.PWM,369
